station_id,month_start,peak_validations,offpeak_validations,total_validations,peak_share_pct
17038,2023-03-01 00:00:00,303863.0,214270.0,518133.0,58.6
17038,2023-07-01 00:00:00,305591.0,207588.0,513179.0,59.5
20001,2023-03-01 00:00:00,23525.0,24395.0,47920.0,49.1
20001,2023-07-01 00:00:00,23780.0,22183.0,45963.0,51.7
20004,2023-01-01 00:00:00,17873.0,10376.0,28249.0,63.3
20004,2023-05-01 00:00:00,20575.0,11792.0,32367.0,63.6
20004,2023-08-01 00:00:00,20575.0,11294.0,31869.0,64.6
20004,2023-10-01 00:00:00,12541.0,6406.0,18947.0,66.2
20004,2023-12-01 00:00:00,13845.0,8148.0,21993.0,63.0
20017,2023-03-01 00:00:00,2873.0,2759.0,5632.0,51.0
20017,2023-07-01 00:00:00,2817.0,2698.0,5515.0,51.1
20026,2023-01-01 00:00:00,9423.0,5544.0,14967.0,63.0
20026,2023-05-01 00:00:00,8901.0,4856.0,13757.0,64.7
20026,2023-08-01 00:00:00,9005.0,4467.0,13472.0,66.8
20026,2023-10-01 00:00:00,4610.0,2170.0,6780.0,68.0
20026,2023-12-01 00:00:00,5269.0,2671.0,7940.0,66.4
20050,2023-01-01 00:00:00,8891.0,10104.0,18995.0,46.8
20050,2023-05-01 00:00:00,8613.0,10218.0,18831.0,45.7
20050,2023-08-01 00:00:00,8521.0,10634.0,19155.0,44.5
20050,2023-10-01 00:00:00,4190.0,4552.0,8742.0,47.9
20050,2023-12-01 00:00:00,5356.0,5798.0,11154.0,48.0
20095,2023-01-01 00:00:00,,66.0,66.0,
20095,2023-08-01 00:00:00,1680.0,2413.0,4093.0,41.0
20095,2023-10-01 00:00:00,1071.0,1580.0,2651.0,40.4
20095,2023-12-01 00:00:00,1470.0,2198.0,3668.0,40.1
17038,2023-09-01 00:00:00,251005.0,171334.0,422339.0,59.4
20001,2023-09-01 00:00:00,20104.0,18632.0,38736.0,51.9
20004,2023-04-01 00:00:00,14760.0,9051.0,23811.0,62.0
20004,2023-06-01 00:00:00,19818.0,11537.0,31355.0,63.2
20004,2023-11-01 00:00:00,17063.0,9099.0,26162.0,65.2
20017,2023-09-01 00:00:00,2751.0,2442.0,5193.0,53.0
20026,2023-04-01 00:00:00,5727.0,3369.0,9096.0,63.0
20026,2023-06-01 00:00:00,8260.0,4658.0,12918.0,63.9
20026,2023-11-01 00:00:00,5981.0,2766.0,8747.0,68.4
20050,2023-04-01 00:00:00,6423.0,7958.0,14381.0,44.7
20050,2023-06-01 00:00:00,8313.0,10597.0,18910.0,44.0
20050,2023-11-01 00:00:00,5293.0,5561.0,10854.0,48.8
20095,2023-11-01 00:00:00,1391.0,1916.0,3307.0,42.1
20095,2023-04-01 00:00:00,,2.0,2.0,
17038,2023-02-01 00:00:00,265190.0,165073.0,430263.0,61.6
20001,2023-02-01 00:00:00,21904.0,21033.0,42937.0,51.0
20017,2023-02-01 00:00:00,2856.0,2630.0,5486.0,52.1
17038,2023-01-01 00:00:00,317914.0,187993.0,505907.0,62.8
17038,2023-05-01 00:00:00,320212.0,207262.0,527474.0,60.7
17038,2023-08-01 00:00:00,317293.0,220112.0,537405.0,59.0
17038,2023-10-01 00:00:00,116283.0,98651.0,214934.0,54.1
17038,2023-12-01 00:00:00,190224.0,120513.0,310737.0,61.2
20001,2023-01-01 00:00:00,24965.0,24737.0,49702.0,50.2
20001,2023-05-01 00:00:00,27337.0,26332.0,53669.0,50.9
20001,2023-08-01 00:00:00,24960.0,23201.0,48161.0,51.8
20001,2023-10-01 00:00:00,13492.0,12183.0,25675.0,52.5
20001,2023-12-01 00:00:00,16787.0,15435.0,32222.0,52.1
20004,2023-03-01 00:00:00,19834.0,11532.0,31366.0,63.2
20004,2023-07-01 00:00:00,19145.0,10603.0,29748.0,64.4
20009,2023-05-01 00:00:00,1.0,,1.0,100.0
20009,2023-01-01 00:00:00,,1.0,1.0,
20017,2023-01-01 00:00:00,3246.0,2869.0,6115.0,53.1
